2023-11-30_02-25-46: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.0001, 'optimizer': 'adam', 'momentum': 0.9, 'device': 'cuda:1', 'kernel_size': 3, 'flatten': False, 'model': 'resnet18'}
2023-11-30_02-27-31: Epoch: 1 | Train loss: 0.3797145127444654 | Train acc: {'40X': 82.54, '100X': 83.39, '200X': 85.43, '400X': 84.34, 'avg_acc': 83.93, 'all_acc': 83.91} | Valid loss: 0.3360151466727257 | Valid acc: {'40X': 82.96, '100X': 86.57, '200X': 86.82, '400X': 88.46, 'avg_acc': 86.2, 'all_acc': 86.16}| Runtime: 1.7 mins
2023-11-30_02-29-13: Epoch: 2 | Train loss: 0.29907788225525134 | Train acc: {'40X': 85.69, '100X': 86.45, '200X': 88.56, '400X': 86.03, 'avg_acc': 86.68, 'all_acc': 86.7} | Valid loss: 0.4249323430657387 | Valid acc: {'40X': 82.21, '100X': 87.29, '200X': 86.07, '400X': 82.97, 'avg_acc': 84.64, 'all_acc': 84.7}| Runtime: 1.7 mins
2023-11-30_02-30-55: Epoch: 3 | Train loss: 0.273267446438203 | Train acc: {'40X': 86.62, '100X': 88.76, '200X': 90.12, '400X': 88.99, 'avg_acc': 88.62, 'all_acc': 88.62} | Valid loss: 0.2251512339711189 | Valid acc: {'40X': 85.96, '100X': 92.09, '200X': 92.79, '400X': 92.58, 'avg_acc': 90.86, 'all_acc': 90.83}| Runtime: 1.7 mins
2023-11-30_02-32-37: Epoch: 4 | Train loss: 0.2537765589014098 | Train acc: {'40X': 89.12, '100X': 89.17, '200X': 91.3, '400X': 88.6, 'avg_acc': 89.55, 'all_acc': 89.57} | Valid loss: 0.2186933107674122 | Valid acc: {'40X': 89.47, '100X': 92.57, '200X': 90.8, '400X': 89.56, 'avg_acc': 90.6, 'all_acc': 90.64}| Runtime: 1.7 mins
2023-11-30_02-34-18: Epoch: 5 | Train loss: 0.23240730997074294 | Train acc: {'40X': 88.95, '100X': 90.2, '200X': 91.12, '400X': 89.18, 'avg_acc': 89.86, 'all_acc': 89.89} | Valid loss: 0.2258353701233864 | Valid acc: {'40X': 90.73, '100X': 92.09, '200X': 92.54, '400X': 87.64, 'avg_acc': 90.75, 'all_acc': 90.83}| Runtime: 1.7 mins
2023-11-30_02-36-00: Epoch: 6 | Train loss: 0.20988596351565542 | Train acc: {'40X': 91.13, '100X': 90.45, '200X': 92.61, '400X': 90.47, 'avg_acc': 91.16, 'all_acc': 91.17} | Valid loss: 0.17269765969365836 | Valid acc: {'40X': 92.98, '100X': 92.81, '200X': 92.79, '400X': 91.21, 'avg_acc': 92.45, 'all_acc': 92.48}| Runtime: 1.7 mins
2023-11-30_02-37-42: Epoch: 7 | Train loss: 0.19166923324401314 | Train acc: {'40X': 91.46, '100X': 91.65, '200X': 93.79, '400X': 89.72, 'avg_acc': 91.66, 'all_acc': 91.7} | Valid loss: 0.38849198520183564 | Valid acc: {'40X': 81.95, '100X': 83.21, '200X': 84.83, '400X': 80.49, 'avg_acc': 82.62, 'all_acc': 82.68}| Runtime: 1.7 mins
2023-11-30_02-39-24: Epoch: 8 | Train loss: 0.19763321583033414 | Train acc: {'40X': 91.8, '100X': 91.73, '200X': 93.11, '400X': 90.74, 'avg_acc': 91.84, 'all_acc': 91.87} | Valid loss: 0.17345899201929568 | Valid acc: {'40X': 92.98, '100X': 94.72, '200X': 92.54, '400X': 92.58, 'avg_acc': 93.2, 'all_acc': 93.24}| Runtime: 1.7 mins
2023-11-30_02-41-06: Epoch: 9 | Train loss: 0.17816826650822484 | Train acc: {'40X': 92.48, '100X': 92.06, '200X': 93.77, '400X': 92.0, 'avg_acc': 92.58, 'all_acc': 92.59} | Valid loss: 0.2027329418808222 | Valid acc: {'40X': 91.73, '100X': 92.57, '200X': 92.54, '400X': 92.86, 'avg_acc': 92.43, 'all_acc': 92.41}| Runtime: 1.7 mins
2023-11-30_02-42-47: Epoch: 10 | Train loss: 0.18148288908540397 | Train acc: {'40X': 91.79, '100X': 92.06, '200X': 94.03, '400X': 91.74, 'avg_acc': 92.4, 'all_acc': 92.42} | Valid loss: 0.15878022480756043 | Valid acc: {'40X': 94.49, '100X': 93.76, '200X': 91.79, '400X': 90.93, 'avg_acc': 92.74, 'all_acc': 92.79}| Runtime: 1.7 mins
2023-11-30_02-42-47: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  82.54  83.39  85.43  84.34    83.93    83.91
1      2  85.69  86.45  88.56  86.03    86.68    86.70
2      3  86.62  88.76  90.12  88.99    88.62    88.62
3      4  89.12  89.17  91.30  88.60    89.55    89.57
4      5  88.95  90.20  91.12  89.18    89.86    89.89
5      6  91.13  90.45  92.61  90.47    91.16    91.17
6      7  91.46  91.65  93.79  89.72    91.66    91.70
7      8  91.80  91.73  93.11  90.74    91.84    91.87
8      9  92.48  92.06  93.77  92.00    92.58    92.59
9     10  91.79  92.06  94.03  91.74    92.40    92.42
2023-11-30_02-42-47: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  82.96  86.57  86.82  88.46    86.20    86.16
1      2  82.21  87.29  86.07  82.97    84.64    84.70
2      3  85.96  92.09  92.79  92.58    90.86    90.83
3      4  89.47  92.57  90.80  89.56    90.60    90.64
4      5  90.73  92.09  92.54  87.64    90.75    90.83
5      6  92.98  92.81  92.79  91.21    92.45    92.48
6      7  81.95  83.21  84.83  80.49    82.62    82.68
7      8  92.98  94.72  92.54  92.58    93.20    93.24
8      9  91.73  92.57  92.54  92.86    92.43    92.41
9     10  94.49  93.76  91.79  90.93    92.74    92.79
2023-11-30_02-42-47: Final test accuracy: {'40X': 91.48, '100X': 93.03, '200X': 96.03, '400X': 89.29, 'avg_acc': 92.46, 'all_acc': 92.54}
