2023-11-30_03-26-28: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.001, 'optimizer': 'sgd', 'momentum': 0.9, 'device': 'cuda:1', 'kernel_size': 3, 'flatten': False, 'model': 'resnet18'}
2023-11-30_03-28-10: Epoch: 1 | Train loss: 0.4140970280041566 | Train acc: {'40X': 79.73, '100X': 80.98, '200X': 84.66, '400X': 81.47, 'avg_acc': 81.71, 'all_acc': 81.71} | Valid loss: 0.333161755502224 | Valid acc: {'40X': 84.46, '100X': 85.13, '200X': 86.07, '400X': 84.62, 'avg_acc': 85.07, 'all_acc': 85.08}| Runtime: 1.7 mins
2023-11-30_03-29-51: Epoch: 2 | Train loss: 0.3263292430925208 | Train acc: {'40X': 83.53, '100X': 85.78, '200X': 87.48, '400X': 86.87, 'avg_acc': 85.92, 'all_acc': 85.9} | Valid loss: 0.32771785616874693 | Valid acc: {'40X': 83.21, '100X': 86.57, '200X': 90.8, '400X': 82.69, 'avg_acc': 85.82, 'all_acc': 85.9}| Runtime: 1.7 mins
2023-11-30_03-31-32: Epoch: 3 | Train loss: 0.306579136314827 | Train acc: {'40X': 85.44, '100X': 86.09, '200X': 87.74, '400X': 87.34, 'avg_acc': 86.65, 'all_acc': 86.63} | Valid loss: 0.30597605019807816 | Valid acc: {'40X': 85.21, '100X': 87.29, '200X': 86.82, '400X': 87.36, 'avg_acc': 86.67, 'all_acc': 86.66}| Runtime: 1.7 mins
2023-11-30_03-33-13: Epoch: 4 | Train loss: 0.28299255397271467 | Train acc: {'40X': 85.62, '100X': 87.15, '200X': 90.39, '400X': 88.42, 'avg_acc': 87.9, 'all_acc': 87.88} | Valid loss: 0.2993967899680138 | Valid acc: {'40X': 85.96, '100X': 88.97, '200X': 88.56, '400X': 86.81, 'avg_acc': 87.58, 'all_acc': 87.61}| Runtime: 1.7 mins
2023-11-30_03-34-55: Epoch: 5 | Train loss: 0.2743989344484903 | Train acc: {'40X': 87.36, '100X': 87.5, '200X': 90.45, '400X': 87.05, 'avg_acc': 88.09, 'all_acc': 88.11} | Valid loss: 0.30808604300022124 | Valid acc: {'40X': 87.97, '100X': 88.97, '200X': 88.31, '400X': 87.36, 'avg_acc': 88.15, 'all_acc': 88.18}| Runtime: 1.7 mins
2023-11-30_03-36-37: Epoch: 6 | Train loss: 0.26347368970714713 | Train acc: {'40X': 86.44, '100X': 88.52, '200X': 91.79, '400X': 89.53, 'avg_acc': 89.07, 'all_acc': 89.06} | Valid loss: 0.36161499708890915 | Valid acc: {'40X': 80.45, '100X': 83.93, '200X': 87.81, '400X': 83.79, 'avg_acc': 84.0, 'all_acc': 84.01}| Runtime: 1.7 mins
2023-11-30_03-38-18: Epoch: 7 | Train loss: 0.2387927146880208 | Train acc: {'40X': 88.12, '100X': 90.62, '200X': 91.96, '400X': 89.89, 'avg_acc': 90.15, 'all_acc': 90.16} | Valid loss: 0.24545922458171845 | Valid acc: {'40X': 85.71, '100X': 90.89, '200X': 91.29, '400X': 92.58, 'avg_acc': 90.12, 'all_acc': 90.08}| Runtime: 1.7 mins
2023-11-30_03-39-59: Epoch: 8 | Train loss: 0.24430679102000352 | Train acc: {'40X': 88.53, '100X': 89.74, '200X': 92.03, '400X': 89.45, 'avg_acc': 89.94, 'all_acc': 89.95} | Valid loss: 0.2536341631412506 | Valid acc: {'40X': 84.71, '100X': 89.45, '200X': 92.04, '400X': 89.01, 'avg_acc': 88.8, 'all_acc': 88.81}| Runtime: 1.7 mins
2023-11-30_03-41-40: Epoch: 9 | Train loss: 0.23648881771274516 | Train acc: {'40X': 89.38, '100X': 90.6, '200X': 91.63, '400X': 89.89, 'avg_acc': 90.38, 'all_acc': 90.39} | Valid loss: 0.2195540253072977 | Valid acc: {'40X': 90.98, '100X': 91.85, '200X': 90.55, '400X': 86.26, 'avg_acc': 89.91, 'all_acc': 90.01}| Runtime: 1.7 mins
2023-11-30_03-43-22: Epoch: 10 | Train loss: 0.2156237586829308 | Train acc: {'40X': 90.05, '100X': 90.77, '200X': 92.79, '400X': 90.71, 'avg_acc': 91.08, 'all_acc': 91.09} | Valid loss: 0.2840245471894741 | Valid acc: {'40X': 87.97, '100X': 90.65, '200X': 88.31, '400X': 87.36, 'avg_acc': 88.57, 'all_acc': 88.62}| Runtime: 1.7 mins
2023-11-30_03-43-22: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  79.73  80.98  84.66  81.47    81.71    81.71
1      2  83.53  85.78  87.48  86.87    85.92    85.90
2      3  85.44  86.09  87.74  87.34    86.65    86.63
3      4  85.62  87.15  90.39  88.42    87.90    87.88
4      5  87.36  87.50  90.45  87.05    88.09    88.11
5      6  86.44  88.52  91.79  89.53    89.07    89.06
6      7  88.12  90.62  91.96  89.89    90.15    90.16
7      8  88.53  89.74  92.03  89.45    89.94    89.95
8      9  89.38  90.60  91.63  89.89    90.38    90.39
9     10  90.05  90.77  92.79  90.71    91.08    91.09
2023-11-30_03-43-22: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  84.46  85.13  86.07  84.62    85.07    85.08
1      2  83.21  86.57  90.80  82.69    85.82    85.90
2      3  85.21  87.29  86.82  87.36    86.67    86.66
3      4  85.96  88.97  88.56  86.81    87.58    87.61
4      5  87.97  88.97  88.31  87.36    88.15    88.18
5      6  80.45  83.93  87.81  83.79    84.00    84.01
6      7  85.71  90.89  91.29  92.58    90.12    90.08
7      8  84.71  89.45  92.04  89.01    88.80    88.81
8      9  90.98  91.85  90.55  86.26    89.91    90.01
9     10  87.97  90.65  88.31  87.36    88.57    88.62
2023-11-30_03-43-22: Final test accuracy: {'40X': 86.97, '100X': 89.18, '200X': 93.3, '400X': 88.74, 'avg_acc': 89.55, 'all_acc': 89.57}
