2023-11-28_22-22-27: Epoch: 1 | Train loss: 0.7061609888600336 | Train acc: {'40X': 71.80752602139034, '100X': 70.70604777980495, '200X': 74.42896909971495, '400X': 71.12104106593776, 'avg_acc': 72.015895991712} | Valid loss: 0.49747249722480774 | Valid acc: {'40X': 76.26255416870117, '100X': 76.95725357055665, '200X': 81.65671035766601, '400X': 80.75512283325196, 'avg_acc': 78.90791023254394}| Runtime: 1.3 mins
2023-11-28_22-23-48: Epoch: 2 | Train loss: 0.481156368311998 | Train acc: {'40X': 76.83456761128194, '100X': 76.3937144150605, '200X': 81.33595590333681, '400X': 80.59363496625745, 'avg_acc': 78.78946822398417} | Valid loss: 0.500587890446186 | Valid acc: {'40X': 71.15011089324952, '100X': 75.45307846069336, '200X': 73.63662971496582, '400X': 73.63505359649658, 'avg_acc': 73.46871816635131}| Runtime: 1.4 mins
2023-11-28_22-25-05: Epoch: 3 | Train loss: 0.47935583694158374 | Train acc: {'40X': 77.13045390876565, '100X': 77.94074166787637, '200X': 83.04599854752824, '400X': 80.91594608409984, 'avg_acc': 79.75828505206754} | Valid loss: 0.4829965072870255 | Valid acc: {'40X': 77.09365074157715, '100X': 78.13510932922364, '200X': 81.75861381530761, '400X': 81.94337333679199, 'avg_acc': 79.7326868057251}| Runtime: 1.3 mins
2023-11-28_22-26-23: Epoch: 4 | Train loss: 0.4512258222376978 | Train acc: {'40X': 80.07094803371945, '100X': 81.06599855422974, '200X': 84.42415144636824, '400X': 83.27692207130227, 'avg_acc': 82.20950502640491} | Valid loss: 0.4696399682760239 | Valid acc: {'40X': 77.4726552581787, '100X': 78.73892486572265, '200X': 83.07106803894042, '400X': 82.04896781921387, 'avg_acc': 80.33290399551392}| Runtime: 1.3 mins
2023-11-28_22-27-40: Epoch: 5 | Train loss: 0.43859270446606585 | Train acc: {'40X': 79.919511717719, '100X': 81.82554876482165, '200X': 85.37280850797086, '400X': 83.64022059053988, 'avg_acc': 82.68952239526286} | Valid loss: 0.49533195614814757 | Valid acc: {'40X': 73.10746147155761, '100X': 77.82127326965332, '200X': 82.19038757324219, '400X': 80.67489204406738, 'avg_acc': 78.44850358963012}| Runtime: 1.3 mins
2023-11-28_22-28-55: Epoch: 6 | Train loss: 0.4510449593937075 | Train acc: {'40X': 79.42238689113307, '100X': 80.2557371758126, '200X': 83.8368613268878, '400X': 84.40269385157404, 'avg_acc': 81.97941981135187} | Valid loss: 0.4759389689564705 | Valid acc: {'40X': 77.79387321472169, '100X': 80.98885246276855, '200X': 80.94045356750489, '400X': 79.93086944580078, 'avg_acc': 79.91351217269899}| Runtime: 1.3 mins
2023-11-28_22-30-10: Epoch: 7 | Train loss: 0.4409868920574317 | Train acc: {'40X': 78.49631991257539, '100X': 81.58040162679312, '200X': 85.11694080765183, '400X': 83.5313093082325, 'avg_acc': 82.18124291381321} | Valid loss: 0.490323460996151 | Valid acc: {'40X': 77.56884231567383, '100X': 79.91250991821289, '200X': 79.42323829650879, '400X': 76.55916847229004, 'avg_acc': 78.36593975067139}| Runtime: 1.3 mins
2023-11-28_22-31-26: Epoch: 8 | Train loss: 0.4219426128107148 | Train acc: {'40X': 81.69453267793398, '100X': 81.58934139561009, '200X': 85.43050791766193, '400X': 85.97687770224907, 'avg_acc': 83.67281492336376} | Valid loss: 0.470323012471199 | Valid acc: {'40X': 78.90223670959473, '100X': 79.74251319885254, '200X': 81.60584419250489, '400X': 80.28535339355469, 'avg_acc': 80.13398687362671}| Runtime: 1.3 mins
2023-11-28_22-32-42: Epoch: 9 | Train loss: 0.39727249328751824 | Train acc: {'40X': 82.10833098437335, '100X': 83.88614487003636, '200X': 87.08508824013374, '400X': 85.51783613256507, 'avg_acc': 84.64935005677714} | Valid loss: 0.5272161597013474 | Valid acc: {'40X': 72.74327339172363, '100X': 71.0722720336914, '200X': 75.8357201385498, '400X': 78.66342014312744, 'avg_acc': 74.57867142677307}| Runtime: 1.3 mins
2023-11-28_22-33-58: Epoch: 10 | Train loss: 0.39629540139356173 | Train acc: {'40X': 82.73697577296076, '100X': 83.53854290214744, '200X': 86.53736849088926, '400X': 84.7729503528492, 'avg_acc': 84.39645937971167} | Valid loss: 0.4802611771225929 | Valid acc: {'40X': 78.72956466674805, '100X': 80.90584434509277, '200X': 82.62879348754883, '400X': 79.11699104309082, 'avg_acc': 80.34529838562011}| Runtime: 1.3 mins
2023-11-28_22-33-58: Train summary:    epoch        40X       100X       200X       400X    avg_acc
0      1  71.807526  70.706048  74.428969  71.121041  72.015896
1      2  76.834568  76.393714  81.335956  80.593635  78.789468
2      3  77.130454  77.940742  83.045999  80.915946  79.758285
3      4  80.070948  81.065999  84.424151  83.276922  82.209505
4      5  79.919512  81.825549  85.372809  83.640221  82.689522
5      6  79.422387  80.255737  83.836861  84.402694  81.979420
6      7  78.496320  81.580402  85.116941  83.531309  82.181243
7      8  81.694533  81.589341  85.430508  85.976878  83.672815
8      9  82.108331  83.886145  87.085088  85.517836  84.649350
9     10  82.736976  83.538543  86.537368  84.772950  84.396459
2023-11-28_22-33-58: Eval summary:    epoch        40X       100X       200X       400X    avg_acc
0      1  76.262554  76.957254  81.656710  80.755123  78.907910
1      2  71.150111  75.453078  73.636630  73.635054  73.468718
2      3  77.093651  78.135109  81.758614  81.943373  79.732687
3      4  77.472655  78.738925  83.071068  82.048968  80.332904
4      5  73.107461  77.821273  82.190388  80.674892  78.448504
5      6  77.793873  80.988852  80.940454  79.930869  79.913512
6      7  77.568842  79.912510  79.423238  76.559168  78.365940
7      8  78.902237  79.742513  81.605844  80.285353  80.133987
8      9  72.743273  71.072272  75.835720  78.663420  74.578671
9     10  78.729565  80.905844  82.628793  79.116991  80.345298
