2023-11-29_00-22-58: Epoch: 1 | Train loss: 0.5887501098819681 | Train acc: {'40X': 74.21, '100X': 74.56, '200X': 79.19, '400X': 78.69, 'avg_acc': 76.66, 'all_acc': 76.58} | Valid loss: 0.5143733286857605 | Valid acc: {'40X': 73.35, '100X': 78.69, '200X': 77.37, '400X': 76.99, 'avg_acc': 76.6, 'all_acc': 76.6}| Runtime: 1.3 mins
2023-11-29_00-24-15: Epoch: 2 | Train loss: 0.5096805841737503 | Train acc: {'40X': 75.31, '100X': 77.28, '200X': 79.35, '400X': 78.2, 'avg_acc': 77.54, 'all_acc': 77.51} | Valid loss: 0.5018127524852752 | Valid acc: {'40X': 78.73, '100X': 79.63, '200X': 82.37, '400X': 81.37, 'avg_acc': 80.53, 'all_acc': 80.46}| Runtime: 1.3 mins
2023-11-29_00-25-32: Epoch: 3 | Train loss: 0.48887319762159037 | Train acc: {'40X': 78.18, '100X': 78.8, '200X': 79.6, '400X': 80.75, 'avg_acc': 79.33, 'all_acc': 79.29} | Valid loss: 0.510131469964981 | Valid acc: {'40X': 71.88, '100X': 75.88, '200X': 73.16, '400X': 73.42, 'avg_acc': 73.58, 'all_acc': 73.62}| Runtime: 1.3 mins
2023-11-29_00-26-48: Epoch: 4 | Train loss: 0.4755120356944767 | Train acc: {'40X': 76.92, '100X': 78.86, '200X': 81.69, '400X': 80.95, 'avg_acc': 79.6, 'all_acc': 79.56} | Valid loss: 0.47049836814403534 | Valid acc: {'40X': 78.0, '100X': 80.56, '200X': 82.37, '400X': 81.37, 'avg_acc': 80.58, 'all_acc': 80.52}| Runtime: 1.3 mins
2023-11-29_00-28-04: Epoch: 5 | Train loss: 0.47615603075639623 | Train acc: {'40X': 78.43, '100X': 79.31, '200X': 81.92, '400X': 80.71, 'avg_acc': 80.09, 'all_acc': 80.07} | Valid loss: 0.6584265702962875 | Valid acc: {'40X': 71.88, '100X': 71.66, '200X': 79.21, '400X': 80.0, 'avg_acc': 75.69, 'all_acc': 75.46}| Runtime: 1.3 mins
2023-11-29_00-29-19: Epoch: 6 | Train loss: 0.506633898897751 | Train acc: {'40X': 76.73, '100X': 76.52, '200X': 80.73, '400X': 79.03, 'avg_acc': 78.25, 'all_acc': 78.21} | Valid loss: 0.4894137132167816 | Valid acc: {'40X': 78.24, '100X': 79.39, '200X': 82.63, '400X': 80.55, 'avg_acc': 80.2, 'all_acc': 80.14}| Runtime: 1.3 mins
2023-11-29_00-30-35: Epoch: 7 | Train loss: 0.4730131077403958 | Train acc: {'40X': 79.79, '100X': 79.63, '200X': 83.28, '400X': 81.68, 'avg_acc': 81.1, 'all_acc': 81.06} | Valid loss: 0.47652923703193667 | Valid acc: {'40X': 78.73, '100X': 79.16, '200X': 82.11, '400X': 81.64, 'avg_acc': 80.41, 'all_acc': 80.33}| Runtime: 1.3 mins
2023-11-29_00-31-49: Epoch: 8 | Train loss: 0.4635621625426653 | Train acc: {'40X': 79.59, '100X': 80.82, '200X': 83.9, '400X': 83.36, 'avg_acc': 81.92, 'all_acc': 81.86} | Valid loss: 0.49549738585948944 | Valid acc: {'40X': 78.73, '100X': 77.52, '200X': 83.68, '400X': 82.47, 'avg_acc': 80.6, 'all_acc': 80.46}| Runtime: 1.2 mins
2023-11-29_00-33-05: Epoch: 9 | Train loss: 0.4560081658733858 | Train acc: {'40X': 79.44, '100X': 79.57, '200X': 83.24, '400X': 82.84, 'avg_acc': 81.27, 'all_acc': 81.21} | Valid loss: 0.4812307059764862 | Valid acc: {'40X': 78.48, '100X': 78.69, '200X': 83.42, '400X': 81.92, 'avg_acc': 80.63, 'all_acc': 80.52}| Runtime: 1.3 mins
2023-11-29_00-40-49: Epoch: 10 | Train loss: 0.4478599511691042 | Train acc: {'40X': 81.75, '100X': 81.75, '200X': 84.66, '400X': 83.93, 'avg_acc': 83.02, 'all_acc': 82.98} | Valid loss: 0.4716892504692078 | Valid acc: {'40X': 79.22, '100X': 78.92, '200X': 82.63, '400X': 80.55, 'avg_acc': 80.33, 'all_acc': 80.27}| Runtime: 7.7 mins
2023-11-29_00-40-50: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  74.21  74.56  79.19  78.69    76.66    76.58
1      2  75.31  77.28  79.35  78.20    77.54    77.51
2      3  78.18  78.80  79.60  80.75    79.33    79.29
3      4  76.92  78.86  81.69  80.95    79.60    79.56
4      5  78.43  79.31  81.92  80.71    80.09    80.07
5      6  76.73  76.52  80.73  79.03    78.25    78.21
6      7  79.79  79.63  83.28  81.68    81.10    81.06
7      8  79.59  80.82  83.90  83.36    81.92    81.86
8      9  79.44  79.57  83.24  82.84    81.27    81.21
9     10  81.75  81.75  84.66  83.93    83.02    82.98
2023-11-29_00-40-50: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  73.35  78.69  77.37  76.99    76.60    76.60
1      2  78.73  79.63  82.37  81.37    80.53    80.46
2      3  71.88  75.88  73.16  73.42    73.58    73.62
3      4  78.00  80.56  82.37  81.37    80.58    80.52
4      5  71.88  71.66  79.21  80.00    75.69    75.46
5      6  78.24  79.39  82.63  80.55    80.20    80.14
6      7  78.73  79.16  82.11  81.64    80.41    80.33
7      8  78.73  77.52  83.68  82.47    80.60    80.46
8      9  78.48  78.69  83.42  81.92    80.63    80.52
9     10  79.22  78.92  82.63  80.55    80.33    80.27
